Date,MC.PA,OR.PA,SAN.PA,AIR.PA,AI.PA,EL.PA,SU.PA,KER.PA,BNP.PA,DG.PA,CS.PA,DSY.PA,RI.PA,SAF.PA,STLAP.PA,BN.PA,ORA.PA,CAP.PA,ENGI.PA,STMPA.PA,ACA.PA,SGO.PA,LR.PA,ML.PA,GLE.PA,VIE.PA,CA.PA,EN.PA,RNO.PA,AC.PA
2022-11-24,702.2000122070312,351.29998779296875,87.0,113.26000213623047,140.9600067138672,171.0,142.77999877929688,547.7000122070312,53.22999954223633,96.80000305175781,27.274999618530273,36.23500061035156,190.64999389648438,116.44000244140625,14.649999618530273,50.470001220703125,9.928000450134277,179.64999389648438,14.449999809265137,37.41999816894531,9.72599983215332,45.099998474121094,79.95999908447266,26.815000534057617,24.364999771118164,25.1299991607666,16.56999969482422,29.760000228881836,34.255001068115234,24.780000686645508
2022-11-25,700.2000122070312,350.25,87.54000091552734,113.81999969482422,141.5,171.44033813476562,142.32000732421875,545.2999877929688,53.33000183105469,97.08000183105469,27.270000457763672,36.290000915527344,186.89999389648438,117.22000122070312,14.64799976348877,50.470001220703125,9.930000305175781,179.89999389648438,14.428000450134277,37.189998626708984,9.73799991607666,45.30500030517578,80.16000366210938,26.825000762939453,24.295000076293945,25.059999465942383,16.545000076293945,29.790000915527344,33.77000045776367,24.790000915527344
2022-11-28,698.7000122070312,352.70001220703125,87.88999938964844,107.36000061035156,140.94000244140625,172.07640075683594,141.0800018310547,545.2000122070312,52.79999923706055,96.79000091552734,27.100000381469727,35.525001525878906,186.39999389648438,115.30000305175781,14.552000045776367,50.290000915527344,9.883000373840332,178.0500030517578,14.371999740600586,36.349998474121094,9.628000259399414,44.209999084472656,79.0,26.799999237060547,24.010000228881836,24.6200008392334,16.524999618530273,29.6200008392334,33.38999938964844,24.709999084472656
2022-11-29,702.0,347.5,88.19000244140625,109.18000030517578,138.75999450683594,171.73390197753906,138.8800048828125,552.5999755859375,53.56999969482422,96.58999633789062,27.354999542236328,34.755001068115234,186.9499969482422,116.5,14.70199966430664,50.29999923706055,9.843999862670898,172.75,14.359999656677246,35.75,9.605999946594238,44.18000030517578,78.05999755859375,26.440000534057617,24.075000762939453,24.31999969482422,16.510000228881836,29.719999313354492,33.779998779296875,24.8799991607666
2022-11-30,737.2999877929688,354.79998779296875,86.4800033569336,109.19999694824219,138.22000122070312,173.4952850341797,138.9199981689453,567.4000244140625,53.43000030517578,96.62000274658203,27.020000457763672,35.084999084472656,188.9499969482422,117.41999816894531,14.883999824523926,50.08000183105469,9.767999649047852,171.0,14.520000457763672,36.05500030517578,9.609999656677246,43.744998931884766,77.4800033569336,26.725000381469727,23.989999771118164,24.579999923706055,16.424999237060547,29.559999465942383,34.810001373291016,25.219999313354492
2022-12-01,721.0,358.3999938964844,87.44999694824219,110.13999938964844,139.52000427246094,174.1802520751953,141.1199951171875,567.0999755859375,52.630001068115234,98.26000213623047,27.375,36.66999816894531,190.0,116.54000091552734,14.906000137329102,50.83000183105469,9.76099967956543,178.60000610351562,14.486000061035156,36.8849983215332,9.501999855041504,44.9900016784668,79.63999938964844,27.040000915527344,23.364999771118164,24.700000762939453,16.645000457763672,29.809999465942383,34.9900016784668,25.18000030517578
2022-12-02,715.2999877929688,360.75,85.7699966430664,110.9800033569336,140.5,176.675537109375,140.47999572753906,559.7000122070312,52.75,98.25,27.389999389648438,36.720001220703125,190.6999969482422,117.16000366210938,14.600000381469727,51.220001220703125,9.654000282287598,177.64999389648438,14.454000473022461,36.69499969482422,9.529000282287598,45.689998626708984,79.5999984741211,27.135000228881836,23.385000228881836,24.979999542236328,16.7450008392334,29.920000076293945,34.599998474121094,25.209999084472656
2022-12-05,714.5,356.79998779296875,85.94000244140625,110.31999969482422,140.24000549316406,173.054931640625,139.5,546.2000122070312,52.31999969482422,97.70999908447266,27.309999465942383,35.90999984741211,187.75,116.5999984741211,14.657999992370605,50.47999954223633,9.373000144958496,173.39999389648438,14.437999725341797,36.63999938964844,9.508000373840332,45.86000061035156,79.4000015258789,26.780000686645508,23.125,25.049999237060547,16.6200008392334,29.049999237060547,35.04999923706055,25.0
2022-12-06,714.2000122070312,358.95001220703125,85.38999938964844,110.83999633789062,139.5,174.47381591796875,138.24000549316406,545.2000122070312,52.459999084472656,97.9000015258789,27.459999084472656,35.08000183105469,189.14999389648438,116.0999984741211,14.458000183105469,50.81999969482422,9.473999977111816,169.9499969482422,14.496000289916992,36.23500061035156,9.435999870300293,46.04499816894531,78.86000061035156,26.8700008392334,22.75,24.829999923706055,16.8700008392334,29.559999465942383,34.71500015258789,25.09000015258789
2022-12-07,712.7999877929688,356.45001220703125,90.5999984741211,108.4000015258789,138.1199951171875,174.37596130371094,137.5399932861328,522.5999755859375,52.0,97.8499984741211,27.264999389648438,34.89500045776367,187.6999969482422,115.94000244140625,14.446000099182129,50.560001373291016,9.333999633789062,169.60000610351562,14.489999771118164,35.65999984741211,9.348999977111816,45.85499954223633,79.19999694824219,26.389999389648438,22.4950008392334,24.600000381469727,16.65999984741211,29.5,34.5,25.18000030517578
